order_id,company_id,company_name,date,order_value,sale_converted,sales_rep,sales_rep_id
SZZW8HGSD5QQX3JI,Z4L1WVR5TDCXRLM5,Later Pi,17-07-2016,5154,0,Alvin Jenson,EC6ZO52HL81ANX7W
9UX75FRFD5YCEXHK,Z4L1WVR5TDCXRLM5,Later Pi,24-04-2016,2948,0,Alvin Jenson,EC6ZO52HL81ANX7W
7ISQG9K1MTTVCP09,Z4L1WVR5TDCXRLM5,Later Pi,28-08-2018,2667,0,Alvin Jenson,EC6ZO52HL81ANX7W
PEXDGXSRBDXX5FIM,Z4L1WVR5TDCXRLM5,Later Pi,29-05-2016,564,0,Alvin Jenson,EC6ZO52HL81ANX7W
DOR9GU38YZCS88NN,Z4L1WVR5TDCXRLM5,Later Pi,03-06-2015,6449,0,Alvin Jenson,EC6ZO52HL81ANX7W
XZOTSRFIRMS0IEMP,Z4L1WVR5TDCXRLM5,Later Pi,19-01-2014,2041,0,Alvin Jenson,EC6ZO52HL81ANX7W
SLZFK0E4OHMODQ5L,Z4L1WVR5TDCXRLM5,Later Pi,30-01-2015,5010,0,Alvin Jenson,EC6ZO52HL81ANX7W
1C63R2TGP68AR7NP,Z4L1WVR5TDCXRLM5,Later Pi,07-11-2014,5797,0,Alvin Jenson,EC6ZO52HL81ANX7W
GLWLP2VJQ5R7DLZ9,Z4L1WVR5TDCXRLM5,Later Pi,15-10-2014,2209,0,Alvin Jenson,EC6ZO52HL81ANX7W
HS5RU6AMLAY58S73,Z4L1WVR5TDCXRLM5,Later Pi,02-08-2015,8326,1,Alvin Jenson,EC6ZO52HL81ANX7W
XCORDUIV7ZT4Q1F4,Z4L1WVR5TDCXRLM5,Later Pi,22-11-2016,1235,1,Alvin Jenson,EC6ZO52HL81ANX7W
0RU3LO31DICYVKVL,Z4L1WVR5TDCXRLM5,Later Pi,11-04-2014,2935,1,Alvin Jenson,EC6ZO52HL81ANX7W
SGVAJIBMA2OEWS6Y,Z4L1WVR5TDCXRLM5,Later Pi,08-04-2016,5916,0,Alvin Jenson,EC6ZO52HL81ANX7W
CZCJQ21HUDBN9BLU,Z4L1WVR5TDCXRLM5,Later Pi,09-05-2016,8821,0,Alvin Jenson,EC6ZO52HL81ANX7W
DJJPYF4EWN8O0QC9,Z4L1WVR5TDCXRLM5,Later Pi,11-12-2016,4431,0,Alvin Jenson,EC6ZO52HL81ANX7W
0PYR0KZFWK0PNDAT,Z4L1WVR5TDCXRLM5,Later Pi,18-04-2015,6925,0,Alvin Jenson,EC6ZO52HL81ANX7W
06HB6D6NP1424SXO,Z4L1WVR5TDCXRLM5,Later Pi,30-04-2014,6053,0,Alvin Jenson,EC6ZO52HL81ANX7W
7I5AJ88QFDJZWLW7,Z4L1WVR5TDCXRLM5,Later Pi,07-02-2014,2413,0,Alvin Jenson,EC6ZO52HL81ANX7W
D37FW9K0DO6CK5ST,Z4L1WVR5TDCXRLM5,Later Pi,28-08-2016,8915,0,Alvin Jenson,EC6ZO52HL81ANX7W
MXRCOKGNZX5XTWBS,Z4L1WVR5TDCXRLM5,Later Pi,02-05-2016,3391,1,Alvin Jenson,EC6ZO52HL81ANX7W
5HETTSGIAILJFJWV,Z4L1WVR5TDCXRLM5,Later Pi,07-05-2014,7575,0,Alvin Jenson,EC6ZO52HL81ANX7W
YPHVCGRPV49I068D,Z4L1WVR5TDCXRLM5,Later Pi,04-02-2017,7546,0,Alvin Jenson,EC6ZO52HL81ANX7W
MKR03MU1XB4O7QWW,Z4L1WVR5TDCXRLM5,Later Pi,27-08-2017,9506,0,Alvin Jenson,EC6ZO52HL81ANX7W
ZJQFCO5DDEECI8YT,Z4L1WVR5TDCXRLM5,Later Pi,28-03-2014,5619,0,Alvin Jenson,EC6ZO52HL81ANX7W
YQI7ELDM3GYJUO1W,Z4L1WVR5TDCXRLM5,Later Pi,14-02-2017,4845,0,Alvin Jenson,EC6ZO52HL81ANX7W
I8A31XPM212CR51A,DG09GG44ZJEZA0DM,Fallacious Self-Defense,01-12-2014,6397,0,Alvin Jenson,EC6ZO52HL81ANX7W
NGX5H9EJQT62WRL5,DG09GG44ZJEZA0DM,Fallacious Self-Defense,05-12-2017,1740,0,Alvin Jenson,EC6ZO52HL81ANX7W
VTA0QFVO2DDJLP8M,DG09GG44ZJEZA0DM,Fallacious Self-Defense,03-06-2018,4075,0,Alvin Jenson,EC6ZO52HL81ANX7W
02XECIOFIL4ONT6R,DG09GG44ZJEZA0DM,Fallacious Self-Defense,30-08-2015,8160,0,Alvin Jenson,EC6ZO52HL81ANX7W
LHESTZRKJZO180VU,DG09GG44ZJEZA0DM,Fallacious Self-Defense,06-04-2014,6733,0,Alvin Jenson,EC6ZO52HL81ANX7W
ABA1GVYVHATC49VU,DG09GG44ZJEZA0DM,Fallacious Self-Defense,14-02-2016,2257,0,Alvin Jenson,EC6ZO52HL81ANX7W
ECW7JXFAZCQWWR4R,DG09GG44ZJEZA0DM,Fallacious Self-Defense,17-03-2015,1652,0,Alvin Jenson,EC6ZO52HL81ANX7W
0SEOC5YZKGQUXLZ9,DG09GG44ZJEZA0DM,Fallacious Self-Defense,30-08-2015,5663,0,Alvin Jenson,EC6ZO52HL81ANX7W
M9CLQ1GHJ0HWO6K4,DG09GG44ZJEZA0DM,Fallacious Self-Defense,05-11-2014,8322,0,Alvin Jenson,EC6ZO52HL81ANX7W
D27HRFPAKOQOFBPG,DG09GG44ZJEZA0DM,Fallacious Self-Defense,11-12-2016,4615,0,Alvin Jenson,EC6ZO52HL81ANX7W
05BLG982KL42DHN0,DG09GG44ZJEZA0DM,Fallacious Self-Defense,12-07-2014,2468,1,Alvin Jenson,EC6ZO52HL81ANX7W
W3QHW75YZSPKVPAY,DG09GG44ZJEZA0DM,Fallacious Self-Defense,30-09-2017,6619,0,Alvin Jenson,EC6ZO52HL81ANX7W
JU2AN58R6ZRLPJFE,DG09GG44ZJEZA0DM,Fallacious Self-Defense,20-11-2017,3889,0,Alvin Jenson,EC6ZO52HL81ANX7W
UAZLAHHB3GA5XTNK,DG09GG44ZJEZA0DM,Fallacious Self-Defense,14-09-2015,9565,0,Alvin Jenson,EC6ZO52HL81ANX7W
FGHR7TNEDFZ4FJLJ,DG09GG44ZJEZA0DM,Fallacious Self-Defense,05-08-2014,5295,0,Alvin Jenson,EC6ZO52HL81ANX7W
A92GC0RUG3IJ8C18,DG09GG44ZJEZA0DM,Fallacious Self-Defense,27-11-2016,1223,1,Alvin Jenson,EC6ZO52HL81ANX7W
5SHHWF84Z0M6MW1Y,DG09GG44ZJEZA0DM,Fallacious Self-Defense,09-11-2017,5594,0,Alvin Jenson,EC6ZO52HL81ANX7W
N6UO74X7XM5IYNJ3,DG09GG44ZJEZA0DM,Fallacious Self-Defense,04-05-2016,2617,0,Alvin Jenson,EC6ZO52HL81ANX7W
A5I82K22JFFKI1QD,DG09GG44ZJEZA0DM,Fallacious Self-Defense,02-07-2016,6537,0,Alvin Jenson,EC6ZO52HL81ANX7W
TJ98B3L8XYYE0QT9,DG09GG44ZJEZA0DM,Fallacious Self-Defense,20-10-2017,4886,0,Alvin Jenson,EC6ZO52HL81ANX7W
NTIMQAMLYW4JQVLL,DG09GG44ZJEZA0DM,Fallacious Self-Defense,01-04-2014,6190,0,Alvin Jenson,EC6ZO52HL81ANX7W
745RGYKZRZ1VWGU2,DG09GG44ZJEZA0DM,Fallacious Self-Defense,19-03-2015,4034,0,Alvin Jenson,EC6ZO52HL81ANX7W
RKDOY6EP6973R7HL,DG09GG44ZJEZA0DM,Fallacious Self-Defense,30-03-2014,7654,0,Alvin Jenson,EC6ZO52HL81ANX7W
Q65ZXSCIO04KX9SS,TRR25HYCHKIJXEKN,Identical Mules,17-05-2016,2833,0,Alvin Jenson,EC6ZO52HL81ANX7W
JYRT3KJE4W07ZK4G,TRR25HYCHKIJXEKN,Identical Mules,09-02-2018,8620,0,Alvin Jenson,EC6ZO52HL81ANX7W
N7QJ85758VFOS71L,TRR25HYCHKIJXEKN,Identical Mules,04-01-2018,8681,0,Alvin Jenson,EC6ZO52HL81ANX7W
9DOR1LEF0HZ72M9A,TRR25HYCHKIJXEKN,Identical Mules,09-08-2018,2436,0,Alvin Jenson,EC6ZO52HL81ANX7W
66AN9OASI7Y2Z2IE,TRR25HYCHKIJXEKN,Identical Mules,15-01-2014,5821,0,Alvin Jenson,EC6ZO52HL81ANX7W
1SYZQZS02JA2TSZN,TRR25HYCHKIJXEKN,Identical Mules,03-08-2016,342,0,Alvin Jenson,EC6ZO52HL81ANX7W
H42WNNEM6EX0B73D,TRR25HYCHKIJXEKN,Identical Mules,28-01-2015,7340,0,Alvin Jenson,EC6ZO52HL81ANX7W
A9G31CVTHSSWLLL0,TRR25HYCHKIJXEKN,Identical Mules,27-07-2017,5574,0,Alvin Jenson,EC6ZO52HL81ANX7W
I49LYRFRBNQPAME0,TRR25HYCHKIJXEKN,Identical Mules,06-04-2014,9078,0,Alvin Jenson,EC6ZO52HL81ANX7W
TXIF1JYZVDGYVNTG,TRR25HYCHKIJXEKN,Identical Mules,08-03-2014,2155,0,Alvin Jenson,EC6ZO52HL81ANX7W
L8GEQFS9KNVQP7LO,TRR25HYCHKIJXEKN,Identical Mules,25-07-2014,8995,0,Alvin Jenson,EC6ZO52HL81ANX7W
9PMYCHJYRPLACQLO,TRR25HYCHKIJXEKN,Identical Mules,25-02-2017,9092,1,Alvin Jenson,EC6ZO52HL81ANX7W
